page,ink_ratio,edge_density,symmetry_score,tile_var_mean,tile_var_std,empty_fraction,max_empty,margin_activity,loop_intensity,cluster_intensity,mirror_intensity,gap_intensity,margin_break_intensity
46,0.6,0.24998814266742553,0.27470070123672485,0.1888187676668167,0.045190826058387756,0.015306122448979591,0.0049800796812749,0.99734395750332,0.47736726026735415,0.2510601447688209,0.6373503506183624,0.02143975119928449,1.0
47,0.5998837981407702,0.24991462720546387,0.23441354930400848,0.1960793286561966,0.028710169717669487,0.02040816326530612,0.004897078353253652,0.9545816733067729,0.490395836544159,0.1595009428759416,0.6172067746520042,0.025100279155486897,1.0
48,0.599248245114779,0.24995731360273193,0.270402193069458,0.18240828812122345,0.031128697097301483,0.00510204081632653,0.004897078353253652,0.947011952191235,0.46581144109970485,0.17293720609611934,0.635201096534729,0.013620687318752201,1.0
49,0.599203187250996,0.24958499335989376,0.24595198035240173,0.18395300209522247,0.03424376994371414,0.03571428571428571,0.004897078353253652,0.9464285714285714,0.46838715011934207,0.19024316635396746,0.6229759901762009,0.03657987099222159,1.0
50,0.5996347941567065,0.2499715424018213,0.2393699437379837,0.1810905933380127,0.03632919117808342,0.03571428571428571,0.004897078353253652,0.950066401062417,0.46344741632942454,0.20182883987824124,0.6196849718689919,0.03657987099222159,1.0
51,0.5999075128059191,0.2499952570669702,0.2507607936859131,0.18008096516132355,0.0289620254188776,0.030612244897959183,0.004897078353253652,0.9603174603174603,0.461643128677216,0.16090014121598667,0.6253803968429565,0.03275334037997669,1.0
52,0.5999928856004553,0.24962767975716182,0.2324461042881012,0.18511533737182617,0.027736812829971313,0.01020408163265306,0.004897078353253652,0.9644090305444887,0.4705028311357261,0.15409340461095175,0.6162230521440506,0.0174472179309971,1.0
53,0.5968103775374691,0.24999051413394044,0.11918389797210693,0.17213304340839386,0.044997502118349075,0.02040816326530612,0.0049800796812749,0.9888446215139443,0.44733426090877626,0.24998612287971708,0.5595919489860535,0.025266281811529394,1.0
54,0.5994308480364258,0.2482806867767027,0.09595061838626862,0.18091660737991333,0.04896923527121544,0.0,0.0,0.9796812749003984,0.46220427101103057,0.272051307062308,0.5479753091931343,0.0,1.0
55,0.599312274710681,0.24999762853348512,0.15357044339179993,0.2012953758239746,0.05747197940945625,0.02040816326530612,0.0049800796812749,0.9930942895086321,0.4998303721765711,0.3192887744969792,0.5767852216959,0.025266281811529394,1.0
56,0.5960088218554354,0.24997865680136597,0.23082280158996582,0.17485888302326202,0.0330294631421566,0.0,0.0,0.9953519256308101,0.4522342506826229,0.18349701745642558,0.6154114007949829,0.0,1.0
57,0.5999667994687915,0.25,0.13435961306095123,0.18551623821258545,0.04824567213654518,0.025510204081632654,0.0049800796812749,0.9114209827357238,0.4714292287826538,0.2680315118696955,0.5671798065304756,0.02909281242377429,1.0
58,0.5996300512236767,0.24997865680136597,0.18412968516349792,0.2059585601091385,0.05136505141854286,0.015306122448979591,0.0049800796812749,0.9833997343957503,0.5082136694372006,0.2853613967696826,0.592064842581749,0.02143975119928449,1.0
59,0.5980577689243027,0.24953519256308102,0.23682722449302673,0.18104887008666992,0.03879856690764427,0.01020408163265306,0.0049800796812749,0.99800796812749,0.46313232206570043,0.21554759393135708,0.6184136122465134,0.017613220587039596,1.0
60,0.5999928856004553,0.2483779169038133,0.1733262985944748,0.1937541365623474,0.032842256128787994,0.030612244897959183,0.0049800796812749,0.9958730158730159,0.48536530010932266,0.18245697849326664,0.5866631492972374,0.032919343036019184,1.0
61,0.5986672358186302,0.24797951052931133,0.23920094966888428,0.19736003875732422,0.03379309922456741,0.030612244897959183,0.0049800796812749,0.9898412698412699,0.49163680055430486,0.18773944013648564,0.6196004748344421,0.032919343036019184,1.0
